Category,Type,2015,2016,2017
DM,Impression,14546329.14,7495739.57,5025679.63
Digital,Impression,79232986.75,74155900.13,54305623.13
Email,Impression,228019651.7,240711489.3,232722610.9
Ext. Email,Impression,624469891.3,439777151.4,276315372.4
MAGAZINE,Impression,138649690.8,164073341,10980692.38
OOH,Impression,365936591.5,0,10344732.51
PR,Impression,424815043.8,877584141.2,2936187321
Paid Search,Impression,10072215.16,31638684.11,21111296.08
Print,Impression,109259301,49008583.89,38436235.71
RADIO,Impression,102694217.2,148773240,160628374
TRADE.COOP,Impression,869483699.6,813467226,1398309998
TRADE.DMA_OTHER,Impression,545576046.6,381600029.5,429443720.2
TV,Impression,247950217.8,227547475.9,207216147.7
DM,Spend,7273164.57,3747869.785,2512839.815
Digital,Spend,1206291.183,1124325.941,834125.2265
Email,Spend,207497.883,219047.4552,211777.5759
Ext. Email,Spend,2522858.361,1776699.692,1116314.105
MAGAZINE,Spend,2075050.128,2455543.935,164338.5356
OOH,Spend,0,0,0
PR,Spend,627420.3834,1296126.835,4336531.395
Paid Search,Spend,2501478.098,7857603.72,5243081.477
Print,Spend,4038378.039,1811426.461,1420657.544
RADIO,Spend,324842.1423,470599.2152,508099.3515
TRADE.COOP,Spend,10953986.06,10248275.68,17616279.91
TRADE.DMA_OTHER,Spend,5811072.322,4064521.13,4574116.719
TV,Spend,7657440.13,7027342.782,6399450.9
DM,Booking,1339.196415,680.5639755,564.1533559
Digital,Booking,528.4907806,451.7888475,388.0872832
Email,Booking,19634.0932,19380.57874,21169.84215
Ext. Email,Booking,19634.0932,19380.57874,21169.84215
MAGAZINE,Booking,11900.76094,14432.47721,668.9658641
OOH,Booking,21135.37423,0,298.2494593
PR,Booking,7263.205558,14716.79681,45545.29723
Paid Search,Booking,4607.869701,17624.32313,10896.49793
Print,Booking,1223.028708,546.981187,452.8120218
RADIO,Booking,2945.228802,3902.609544,3350.340285
TRADE.COOP,Booking,5639.340552,5376.930514,8180.319046
TRADE.DMA_OTHER,Booking,5639.340552,5376.930514,8180.319046
TV,Booking,16338.5065,13288.3854,12856.89895
Actual,Impression,3760705882,3455833002,5781027803
Actual,Booking,289224,275216,278133
